
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v2.5.2)

2021-07-13 17:50:15.488  INFO 419684 --- [           main] b.o.p.trydecrypt.TryDecryptApplication   : Starting TryDecryptApplication v0.0.1-SNAPSHOT using Java 11.0.11 on TI-ELIAS-POLICENA-FEDORA-1 with PID 419684 (/home/elias/dev/ambiente/decrypt-bcvault/try-decrypt/target/try-decrypt-0.0.1-SNAPSHOT.jar started by elias in /home/elias/dev/ambiente/decrypt-bcvault/try-decrypt)
2021-07-13 17:50:15.489  INFO 419684 --- [           main] b.o.p.trydecrypt.TryDecryptApplication   : No active profile set, falling back to default profiles: default
2021-07-13 17:50:16.068  INFO 419684 --- [           main] b.o.p.trydecrypt.TryDecryptApplication   : Started TryDecryptApplication in 0.902 seconds (JVM running for 1.288)
Pass; Pin; Interactions; Reversed; Twice; base58; base64; length
1234;2341;196;false;false;false;false;239
1234;2341;613;false;false;false;false;239
1234;2341;631;false;false;false;false;239
1234;2341;668;false;false;false;false;239
1234;2341;881;false;true;false;false;239
1234;2341;922;false;false;false;false;239
1234;2341;1133;false;false;false;false;239
1234;2341;1348;false;false;false;false;239
1234;2341;1485;false;false;false;false;239
1234;2341;1608;false;false;false;false;239
1234;2341;1755;false;false;false;false;239
1234;2341;1818;false;false;false;false;239
1234;2341;1906;false;false;false;false;239
1234;2341;2101;false;false;false;false;239
1234;2341;2218;false;false;false;false;239
1234;2341;2494;false;false;false;false;239
1234;2341;2801;false;false;false;false;239
1234;2341;2889;false;false;false;false;239
1234;2341;2901;false;false;false;false;239
1234;2341;2957;false;false;false;false;239
1234;2341;3490;false;false;false;false;239
1234;2341;3534;false;false;false;false;239
1234;2341;3667;false;false;false;false;239
1234;2341;3863;false;false;false;false;239
1234;2341;4330;false;false;false;false;239
1234;2341;4632;false;false;false;false;238
1234;2341;4656;false;false;false;false;239
1234;2341;4863;false;false;false;false;239
1234;2341;6242;false;false;false;false;239
1234;2341;6502;false;false;false;false;239
1234;2341;6842;false;false;false;false;239
1234;2341;6853;false;false;false;false;239
1234;2341;7037;false;false;false;false;239
1234;2341;7498;false;false;false;false;239
1234;2341;8129;false;false;false;false;239
1234;2341;8318;false;false;false;false;239
1234;2341;8339;false;false;false;false;239
1234;2341;8362;false;false;false;false;239
1234;2341;8561;false;false;false;false;239
1234;2341;8923;false;false;false;false;239
1234;2341;9591;false;false;false;false;239
1234;2341;9613;false;false;false;false;239
1234;2341;9911;false;false;false;false;239
1234;2341;10355;false;false;false;false;239
1234;2341;10408;false;false;false;false;239
1234;2341;10616;false;false;false;false;239
1234;2341;10662;false;false;false;false;239
1234;2341;10772;false;false;false;false;239
1234;2341;12001;false;false;false;false;239
1234;2341;12066;false;false;false;false;239
1234;2341;12200;false;false;false;false;239
1234;2341;12223;false;false;false;false;239
